gen,nodes,steps,result
1,14,3,1
2,34,14,0
3,68,42,1
4,98,56,1
5,131,73,1
6,177,95,0
7,251,161,0
8,331,230,1
9,384,251,1
10,456,284,0
11,549,358,0
12,637,403,0
13,722,445,1
14,820,490,0
15,927,549,1
16,1041,602,1
17,1158,656,0
18,1402,940,0
19,1523,1002,1
20,1669,1072,0
21,1812,1142,0
22,2082,1421,1
23,2229,1488,1
24,2401,1570,1
25,2570,1645,0
26,2794,1801,1
27,2973,1882,0
28,3183,2010,1
29,3372,2093,1
30,3574,2183,1
31,3779,2275,0
32,4183,2709,0
33,4398,2810,1
34,4620,2906,1
35,4851,3012,1
36,5095,3120,0
37,5528,3537,1
38,5782,3648,0
39,6057,3805,1
40,6333,3930,0
41,6612,4062,1
42,6898,4189,1
43,7181,4314,0
44,7657,4822,0
45,7962,4968,0
46,8268,5104,0
47,8583,5251,1
48,8911,5398,1
49,9230,5535,0
50,9922,6350,0
